label,label_hint,hint_reason,similarity,edge_cents,strategy,kalshi_id,kalshi_label,kalshi_yes,kalshi_no,poly_id,poly_label,poly_yes,poly_no
1,-1,needs review,0.8487,2.95,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 96.0¢,KXSERIEA-26-GEN,Will Genoa win the Serie A? — Genoa,1.0,100.0,0x8257e2d062694629bb0e3ca202bdfba92b2a5e5abdc51855df0ddec183546ccf,Will Genoa finish in the top 4 in the 2025-26 Serie A season?,3.95,96.05
2,1,threshold mismatch (2026.0 vs 20.0),0.8822,1.0,NO on Kalshi @ 75.0¢  +  YES on Polymarket @ 24.0¢,KXSPOTIFYALBUMRELEASEDATEKANYE-MAR21-26,"Will Kanye West / Ye release BULLY before Mar 21, 2026? — Before Mar 21, 2026",26.0,75.0,0x742de60f0c34f865f819a14f38e2ca01e31731b538153c7b1d6b0f620c8960e5,Will Kanye release BULLY by March 20?,24.0,76.0
2,-1,needs review,0.9044,1.45,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 95.5¢,KXMLSCUP-26-MTL,Will Montréal win the MLS Cup? — Montréal,3.0,100.0,0xb4c20e4b46aaf7ab65f74179d70de44bbd3734937d05da6e39d722a18f4b3646,Will CF Montréal win the 2026 MLS Cup?,4.45,95.55
2,-1,needs review,0.8526,5.0,NO on Kalshi @ 52.0¢  +  YES on Polymarket @ 43.0¢,SENATEOHS-26-D,Will Democratics win the Senate race in Ohio? — Democratic party,49.0,52.0,0x968a1a79e001d49fa3ee1429e3b95eb01797587740f86d4e6becf3ab1b275bfb,Will the Democrats win the Ohio Senate race in 2026?,43.0,56.99999999999999
2,-1,needs review,0.9014,0.5,NO on Kalshi @ 30.0¢  +  YES on Polymarket @ 69.5¢,KXTAYLORSWIFTWEDDINGATTEND-28DEC31-EST,Will Este Haim attend Taylor Swift and Travis Kelce's Wedding? — Este Haim,77.0,30.0,0x52df1d538aca1242b08834637708b046c15732a9aff3211ce6f6c240a753f41f,Will Este Haim attend Taylor Swift's wedding?,69.5,30.5
1,1,threshold mismatch (8.0 vs 4.5),0.861,7.5,YES on Kalshi @ 21.0¢  +  NO on Polymarket @ 71.5¢,KXNBAAST-26MAR09NYKLAC-NYKJHART3-8,Josh Hart: 8+ assists — Josh Hart: 8+,21.0,100.0,0xd4a919153d1d169d466962c2a78b86ced791b0ea0ec9aaaf979ca1e815eecd5f,Josh Hart: Assists O/U 4.5,28.499999999999996,71.5
1,2,matching thresholds + jaccard 0.58,0.9457,8.5,YES on Kalshi @ 28.0¢  +  NO on Polymarket @ 63.5¢,KXVISITVENEZUELA-26MAY01-EGUN,"Will Edmundo González Urrutia visit Venezuela before May 1, 2026? — Edmundo González Urrutia",28.0,75.0,0xe043000c42d3a4896c167594b0a1b2d84b1ffdae8fd55ca2dd50b99a02bd595f,"Will Edmundo González Urrutia visit Venezuela by March 31, 2026?",36.5,63.5
1,-1,needs review,0.834,0.35,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 97.7¢,KXBTCD-26MAR1317-T81999.99,"Bitcoin price  on Mar 13, 2026? — $82,000 or above",2.0,100.0,0xd1150a7acebb87531909f9c2a060b8155150bb81a5e923d50a9acfd2f65e1d71,"Will the price of Bitcoin be above $78,000 on March 13?",2.35,97.65
2,2,matching thresholds + jaccard 0.60,0.9011,1.0,YES on Kalshi @ 58.0¢  +  NO on Polymarket @ 41.0¢,KXOSCARCOUNT-26-SEN-1,How many awards will Sentimental Value win at the Oscars? — Exactly 1,58.0,46.0,0x636668d22c6bc488ded40bbe104739ff91293b38e0108a27ac2b3bda379e6eb3,"Will ""Sentimental Value"" win exactly 1 award at the Oscars?",59.0,41.0
2,-1,needs review,0.8384,4.0,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 92.0¢,KXLEBANONPARLI-26-KATAEB,Who will win the next Lebanese general election? — Kataeb,4.0,99.0,0x74a280ab7532726d8ec0a17c4c513d8ee8dba7fc88f554466dcc7ac5f43ab4ea,Will Kataeb Party win the most seats in the 2026 Lebanese parliamentary election?,8.0,92.0
0,2,matching thresholds + jaccard 0.67,0.8635,36.3,NO on Kalshi @ 59.0¢  +  YES on Polymarket @ 4.7¢,KX2028DRUN-28-JOSS,Who will run for the Democratic presidential nomination in 2028? — Jon Ossoff,44.0,59.0,0x74dba1ce1ae9dd535414e85f2d9ab5ea32c0fb1acc9b7130b67e6d91217e24e1,Will Jon Ossoff win the 2028 Democratic presidential nomination?,4.7,95.3
0,1,threshold mismatch (2026.0 vs 542.0),0.8748,5.5,NO on Kalshi @ 52.0¢  +  YES on Polymarket @ 42.5¢,KXDCHOMEVAL-26MAR19-T567500,"Will the Washington DC metro area typical home value in Feb 2026 be above $567,500? — Above $567,500",57.0,52.0,0x48b987c84b73a4aa4271f64d7a51c72ec77ab9bf0f8930cc636d719659c3abac,"Will the median home value in the DC Metro area be between $536,000 and $542,000 on April 1?",42.5,57.49999999999999
1,2,matching thresholds + jaccard 0.50,0.949,30.0,NO on Kalshi @ 9.0¢  +  YES on Polymarket @ 61.0¢,KXVISITVENEZUELA-26MAY01-CMYE,"Will Charles Myers visit Venezuela before May 1, 2026? — Charles Myers",96.0,9.0,0x7c214fbc03a106592b95b439d5754938776c05bbec4458ff74612f0edf3ebfe2,"Will Charles Myers visit Venezuela by March 31, 2026?",61.0,39.0
2,-1,needs review,0.8983,0.5,YES on Kalshi @ 94.0¢  +  NO on Polymarket @ 5.5¢,KXOSCARASPLAY-26-ONE,Will One Battle After Another win Best Adapted Screenplay at the Oscars? — One Battle After Another,94.0,7.0,0xa417870f2a38c6c97ea5283e6a1091dda0530e0e97f24467ad996f278dd60c0d,Will One Battle After Another win Best Adapted Screenplay at the 98th Academy Awards?,94.5,5.5
2,-1,needs review,0.8955,15.75,YES on Kalshi @ 19.0¢  +  NO on Polymarket @ 65.2¢,KXMLBNLHAARON-26-RACU,Will Ronald Acuña Jr. win NL Hank Aaron Award? — Ronald Acuña Jr.,19.0,95.0,0x9f91225e417dedc5dacd9fa5a978925a335ce012df3bbe3fb323aeba30162d96,Will Ronald Acuña Jr. win the 2026 National League Hank Aaron Award?,34.75,65.25
1,-1,needs review,0.8556,86.5,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 12.5¢,KXBTCD-26MAR0906-T69499.99,"Bitcoin price  on Mar 9, 2026? — $69,500 or above",1.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",87.5,12.5
1,-1,needs review,0.8491,44.5,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 54.5¢,KXBTCD-26MAR0905-T68499.99,"Bitcoin price  on Mar 9, 2026? — $68,500 or above",1.0,100.0,0x86010dc66556e7b1cd0eb6d82c20f052d3ba3ba6ccdc8864c605268925cbda4f,"Will the price of Bitcoin be above $68,000 on March 9?",45.5,54.50000000000001
1,1,threshold mismatch (8.0 vs 6.0),0.8749,0.85,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 98.2¢,KXOSCARCOUNT-26-SEN-8,How many awards will Sentimental Value win at the Oscars? — Exactly 8,1.0,100.0,0xe952781b7e143887e604daa16b00ae30ae12f2d78c70319a3237f6c18de2409a,"Will ""Sentimental Value"" win 6 or more awards at the Oscars?",1.85,98.15
0,-1,needs review,0.8359,48.0,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 50.0¢,KXWBCROUND-26FINAL-ISR,Will Israel qualify for the championship game in World Baseball Classic? — Israel,2.0,100.0,0xe7b8dd14f37be3cd7065b8c0627a2b2b1a247e10a9997ae74eb1bfd65bcf0cee,Will Israel advance to the Knockout Stages of the 2026 World Baseball Classic final?,50.0,50.0
2,2,matching thresholds + jaccard 0.50,0.8378,0.75,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 98.2¢,KXSB-27-LV,Will Las Vegas win the 2027 Pro Football Championship? — Las Vegas,1.0,100.0,0xc771628162ee0100dc74e1c71c14ed067c3cc0f90e85e9f2c1038a33967c52a5,Will the Las Vegas Raiders win the 2027 NFL league championship?,1.7500000000000002,98.25
1,-1,needs review,0.8781,45.5,NO on Kalshi @ 36.0¢  +  YES on Polymarket @ 18.5¢,KXWCGROUPQUAL-26D-PAR,Will Paraguay qualify from World Cup Group D? — Paraguay,71.0,36.0,0x73b5c4c8e2cc6e60d97fe6747c19efd3c4d63b6983590bb82d8852d5f1fc46cc,Will Paraguay win Group D in the 2026 FIFA World Cup?,18.5,81.5
2,2,matching thresholds + jaccard 0.50,0.8936,0.5,NO on Kalshi @ 87.0¢  +  YES on Polymarket @ 12.5¢,KXNBA-26-BOS,Will the Boston win the 2026 Pro Basketball Finals? — Boston,14.0,87.0,0x13e1cc703a120883a709d3bb29707097952845d61ca6793ea2b4328bae2a7451,Will the Boston Celtics win the 2026 NBA Finals?,12.5,87.5
2,2,matching thresholds + jaccard 0.86,0.9447,8.5,NO on Kalshi @ 57.0¢  +  YES on Polymarket @ 34.5¢,KXFL19R-26-CLAU,Wil Catalina Lauf be the Republican nominee for FL-19? — Catalina Lauf,46.0,57.0,0xf43d99c0b796e0e5226dffa31c71c9fab943e3f79c0182c144eea93dc6b77ae2,Will Catalina Lauf be the Republican nominee for FL-19?,34.5,65.5
0,-1,needs review,0.8304,39.5,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 54.5¢,KXLEADERMLBRUNS-26-VGUE,Will Vladimir Guerrero Jr. lead Pro Baseball in runs for the 2026 regular season? — Vladimir Guerrero Jr.,6.0,100.0,0xd4c8a662cd1849eb58a6be8b3dc5b299d8476dade2f2ecfba20ef855b4d1fcdc,Will Vladimir Guerrero Jr. hit the most home runs at the 2026 World Baseball Classic?,45.5,54.50000000000001
2,-1,needs review,0.8785,2.5,YES on Kalshi @ 34.0¢  +  NO on Polymarket @ 63.5¢,KXNHLPLAYOFF-26-SEA,Will the Seattle Kraken be one of the 2025-26 Pro Hockey Playoff Qualifiers? — Seattle Kraken,34.0,67.0,0xd863504ace8a3a34e261e7c1fa1d0119805746d2bec8a8db9f2aea006ff19909,Will the Seattle Kraken make the NHL Playoffs?,36.5,63.5
1,-1,needs review,0.865,10.55,NO on Kalshi @ 88.0¢  +  YES on Polymarket @ 1.5¢,KXATPGRANDSLAM-26-AZEV,Will Alexander Zverev win a Tennis Grand Slam in 2026? — Alexander Zverev,13.0,88.0,0x9f6c180ed79bccf08b3d58d23c6af3a87afd4d0b176e770c6951a573dcaee814,Will Alexander Zverev be the 2026 Men’s Wimbledon winner?,1.4500000000000002,98.55
0,-1,needs review,0.8652,10.0,YES on Kalshi @ 44.0¢  +  NO on Polymarket @ 46.0¢,KXMLSGAME-26MAR14RSLATX-RSL,Salt Lake vs Austin Winner? — Salt Lake,44.0,58.0,0x386b4f7ed9324d6fc92c1076bf68ceb82de061cbcbcabb877417f2ff8ac7c77a,Real Salt Lake vs. Austin FC: Both Teams to Score,54.0,46.0
2,-1,needs review,0.8749,1.6,NO on Kalshi @ 95.0¢  +  YES on Polymarket @ 3.4¢,KXSB-27-CHI,Will Chicago win the 2027 Pro Football Championship? — Chicago,6.0,95.0,0x87f0b061076a7309abeb719136246303ce17fe40b4e9c65aca4149bbdbdd3236,Will the Chicago Bears win the 2027 NFL league championship?,3.4000000000000004,96.6
0,-1,needs review,0.8557,74.5,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 24.5¢,KXFACUP-26-IPS,Will Ipswich win the FA Cup? — Ipswich,1.0,100.0,0xba57613eb110982265a21a70f0bcf3821a1a8884e1b69f8b8487272515020a9d,Will Ipswich Town FC win on 2026-03-14?,75.5,24.5
1,1,threshold mismatch (2026.0 vs 0.2),0.8298,0.15,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 98.9¢,KXDOGED-26MAR0905-T0.1799999,"Dogecoin price  on Mar 9, 2026? — $0.18 or above",1.0,100.0,0x43637d120b7fede169ca76a7b0111865254737b61a2438dd00925c2f720bb68c,Will Dogecoin reach $0.20 in March?,1.15,98.85
2,2,matching thresholds + jaccard 0.75,0.9493,1.5,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 92.5¢,KXHOUSERACE-TX37-26-R,Will Republican win the House race for TX-37? — Republican party,6.0,100.0,0x755d30ff2ba22db3a22b7a6d7bf55a12c47ddbec4b84c7066f8d99166fe55236,Will the Republican Party win the TX-37 House seat?,7.5,92.5
1,2,matching thresholds + jaccard 0.67,0.9246,52.5,NO on Kalshi @ 24.0¢  +  YES on Polymarket @ 23.5¢,KXUE-CAN26FEB-6.3,Canada unemployment rate in Feb 2026? — Above 6.3%,83.0,24.0,0xf2d7b887546a29521e563eb88a6b534f4200db86d62a4b61cb9735adbab869ce,Will Canada’s February 2026 unemployment rate be 6.3%?,23.5,76.5
0,-1,needs review,0.8678,44.0,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 55.0¢,KXMARMAD-26-ORE,Will Oregon win the College Basketball National Championship? — Oregon,1.0,100.0,0x1a892307d8c60fd36c2f45bf7053346338505bd0c989d076ac99e2d4d073121a,Will Oregon State win the 2026 WCC conference championship?,45.0,55.00000000000001
2,1,threshold mismatch (2026.0 vs 30.0),0.8257,1.7,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 95.3¢,KXIMPEACH-26-JUN01,"Will the President be impeached before Jun 1, 2026? — Before Jun 1, 2026",3.0,98.0,0x76571df48d488671ae04d6aa0610c11ebc51018cefd850ea8a9d523c150745cc,Will Trump be impeached by June 30?,4.7,95.3
2,2,matching thresholds + jaccard 0.75,0.9253,11.5,YES on Kalshi @ 45.0¢  +  NO on Polymarket @ 43.5¢,KXHOUSERACE-MN01-26-D,Will Democratic win the House race for MN-01? — Democratic party,45.0,59.0,0xcdadbda6f89673336dc76bd48a5765d942494452073e366d9cefd37e6b37dd7e,Will the Democratic Party win the MN-01 House seat?,56.49999999999999,43.5
1,1,threshold mismatch (2027.0 vs 3.0),0.9391,27.5,NO on Kalshi @ 63.0¢  +  YES on Polymarket @ 9.5¢,KXKIMKBAREXAM-27,Will Kim Kardashian pass the Bar Exam before 2027? — Yes,42.0,63.0,0xad74ec4c2b537ba1d1c914dee6a9a551136da2bc6706908aa406b028a5ce4849,Will Kim Kardashian pass the bar exam by May 3?,9.5,90.5
2,-1,needs review,0.8756,2.4,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 94.6¢,KXMLSCUP-26-ATL,Will Atlanta win the MLS Cup? — Atlanta,3.0,100.0,0x4fc98f65d07f52afbf73e4fd3bcf6901f2fa2391a208e22e200e89332934b34f,Will Atlanta United FC win the 2026 MLS Cup?,5.4,94.6
1,-1,needs review,0.9221,13.5,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 84.5¢,KXGREENTERRITORY-29-26APR,"Will the United States acquire any part of Greenland before Apr 1, 2026? — Before April 2026",2.0,99.0,0x890fc3ba40458db0b67560691aa1597344c2a0560d18e80f586a4b35f510b4ce,Will the US acquire part of Greenland in 2026?,15.5,84.5
1,-1,needs review,0.8812,0.5,NO on Kalshi @ 17.0¢  +  YES on Polymarket @ 82.5¢,SENATEKS-26-R,Will Republicans win the Senate race in Kansas? — Republican party,86.0,17.0,0xb8b5349814450b8bba2ecdda2eeb9f48bd3c795bfb858bedf7a383712b877743,Will the Republicans win the Kansas Senate race in 2026?,82.5,17.5
0,2,matching thresholds + jaccard 0.55,0.8716,86.5,YES on Kalshi @ 7.0¢  +  NO on Polymarket @ 6.5¢,KXWCGOALLEADER-26-LMES,Will Lionel Messi lead FIFA World Cup in Goals for the 2026 World Cup Full Tournament? — Lionel Messi,7.0,95.0,0x160dbfb768f10eedc79d21400546975778e2d0f1ae7f53777a1edabd5baecf81,Will Lionel Messi play in the 2026 FIFA World Cup?,93.5,6.5
2,2,matching thresholds + jaccard 0.75,0.9297,1.0,NO on Kalshi @ 8.0¢  +  YES on Polymarket @ 91.0¢,KXHOUSERACE-TX07-26-D,Will Democratic win the House race for TX-07? — Democratic party,99.0,8.0,0xe1184526baec0116c84ce78f2bfcd7e3bb0922fb97024bdfcfcc249ac9f17545,Will the Democratic Party win the TX-07 House seat?,91.0,9.0
0,-1,needs review,0.8666,1.0,NO on Kalshi @ 11.0¢  +  YES on Polymarket @ 88.0¢,KXSONGRELEASE-27JAN01-MARI,Will Mariah Carey release a new song 2026? — Mariah Carey,99.0,11.0,0x32c9802fd247d6049bd22b038b245d3d92be89c8bdc6e3c06760215643693461,Will Mariah Carey have a #1 song on the Billboard Hot 100 in 2026?,88.0,12.0
2,-1,needs review,0.8844,1.05,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 95.0¢,KXNFLAFCCHAMP-27-IND,Will Indianapolis win the Pro Football AFC Championship? — Indianapolis,4.0,97.0,0xfb21fde6e6aee23dfe265210fb2db64f7dd5928742a7c6bb73aea03513341d94,Will Indianapolis Colts win the 2027 NFL AFC Championship?,5.050000000000001,94.95
2,-1,needs review,0.8561,12.5,YES on Kalshi @ 35.0¢  +  NO on Polymarket @ 52.5¢,KXFARRERBYELECTION-26DEC31-MMIL,Will Michelle Milthorpe win the 2026 Farrer by-election? — Michelle Milthorpe,35.0,71.0,0xa7433b1847c5a6b04a64a42cc02082fb87a031a46640130cacf3e644493902cf,Will Michelle Milthorpe win the by-election for the seat of Farrer in the Australian House of Representatives?,47.5,52.5
1,-1,needs review,0.8325,1.5,NO on Kalshi @ 57.0¢  +  YES on Polymarket @ 41.5¢,KXCPIYOY-26FEB-T2.4,Will the rate of CPI inflation be above 2.4% for the year ending in February 2026? — Above 2.4%,45.0,57.0,0x7de3925925f05e8a35931166f0446ad22084262145ffa467b4e37c80d2b6e7bc,Will annual inflation increase by 2.4% in February?,41.5,58.5
2,-1,needs review,0.8665,1.8,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 97.2¢,SENATENE-26-D,Will Democratics win the Senate race in Nebraska? — Democratic party,1.0,100.0,0x12ac475399b12fd74917ccf0e29ce338eb4fc76c066cc8b56d01d2f9a2b17597,Will the Democrats win the Nebraska Senate race in 2026?,2.8000000000000003,97.2
0,-1,needs review,0.823,84.5,YES on Kalshi @ 7.0¢  +  NO on Polymarket @ 8.5¢,KXTXHOUSEDEMSEATS-26NOV03-E13,Will Democrats win exactly 13 seats in 2026 U.S. House of Representatives elections in Texas? — 13,7.0,99.0,0x4482da6539426799a135e01150a04162644492a1d1a9e631d613ca0c75ae11e0,Will the Republican Party win the TX-13 House seat?,91.5,8.5
0,-1,needs review,0.9007,2.95,NO on Kalshi @ 95.0¢  +  YES on Polymarket @ 2.1¢,KXPUTINZELENSKYYLOCATION-28-RUS,Will Putin and Zelenskyy meet next in Russia? — Russia,11.0,95.0,0xa8431dcd774084bb9a0192f064efa8cbe2bbd9e41b3863c7667a5c8b0cb99e84,Will Zelenskyy and Putin meet next in US before 2027?,2.0500000000000003,97.95
0,-1,needs review,0.8739,31.5,YES on Kalshi @ 12.0¢  +  NO on Polymarket @ 56.5¢,KXLEADERMLBHR-26-CRAL,Will Cal Raleigh lead Pro Baseball in home runs for the 2026 regular season? — Cal Raleigh,12.0,92.0,0x6512a8cf867c9b1a75b40f55bd43f6a35ba7843332ff671e569a6bcf2adf7938,Will Cal Raleigh hit the most home runs at the 2026 World Baseball Classic?,43.5,56.49999999999999
2,2,matching thresholds + jaccard 0.56,0.8972,4.0,NO on Kalshi @ 22.0¢  +  YES on Polymarket @ 74.0¢,HOUSENE2-26-D,Will Democratic win the House race for NE-2? — Democratic party,84.0,22.0,0x13ab5c37a83d0a2ed874bd931c1c8a10984dcabc37cb67f4e36c807492cbfd3b,Will the Democratic Party win the NE-02 House seat?,74.0,26.0
1,-1,needs review,0.9356,6.2,YES on Kalshi @ 76.0¢  +  NO on Polymarket @ 17.8¢,KXIPODISCORD-26NOV01,"When will Discord IPO? — Before Nov 1, 2026",76.0,31.0,0x48fcbf6bb8eceff817ba48b56211e4f8a4cf6896570d847d8d115e63c3abf36a,Discord IPO before 2027?,82.19999999999999,17.8
0,2,matching thresholds + jaccard 0.50,0.8497,42.0,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 56.0¢,KXLEADERMLBHR-26-JROD,Will Julio Rodríguez lead Pro Baseball in home runs for the 2026 regular season? — Julio Rodríguez,2.0,100.0,0x5cf57bd3626dba5344d2696ef7139e9b0e89f9f00da355b79ee28c4d56dac7f7,Will Julio Rodríguez hit the most home runs at the 2026 World Baseball Classic?,44.0,56.00000000000001
2,-1,needs review,0.8327,2.55,NO on Kalshi @ 84.0¢  +  YES on Polymarket @ 13.5¢,KXGOVKSNOMR-26-PS,Wil Philip Sarnecki be the Republican nominee for Governor in Kansas? — Philip Sarnecki,21.0,84.0,0xd482f14b4a09d5d554589e8049d4c8eb367bd5caf01c9cb6d45e058b73cf1835,Will Philip Sarnecki win the 2026 Kansas Governor Republican primary election?,13.45,86.55000000000001
0,-1,needs review,0.8286,60.5,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 38.5¢,KXSERIEA-26-CRE,Will Cremonese win the Serie A? — Cremonese,1.0,100.0,0xa0224dd1786eab161adafee1168cb48cc9ecbf80e938b74d7ae2ab1d097485a7,Will Cremonese be relegated from Serie A after the 2025-26 season?,61.5,38.5
1,-1,needs review,0.8977,27.05,YES on Kalshi @ 7.0¢  +  NO on Polymarket @ 66.0¢,KXMLBNLHAARON-26-MBET,Will Mookie Betts win NL Hank Aaron Award? — Mookie Betts,7.0,100.0,0xc91cf69918bc73d74141b94851363dabe90bb57fa6d54c707783a940236fb20f,Will Mookie Betts win the 2026 National League Hank Aaron Award?,34.050000000000004,65.95
2,-1,needs review,0.8481,19.5,YES on Kalshi @ 9.0¢  +  NO on Polymarket @ 71.5¢,KXMLSCUP-26-LAG,Will Los Angeles G win the MLS Cup? — Los Angeles G,9.0,97.0,0xfa4b4e1b72cbe5f2ed5dcdca162b16bc77d1c15575ad16fc03f41cb78d72e0f8,Will Los Angeles FC win the 2026 MLS Cup?,28.499999999999996,71.5
1,-1,needs review,0.9331,4.5,YES on Kalshi @ 8.0¢  +  NO on Polymarket @ 87.5¢,KXIPOGLEAN-26MAY01,"When will Glean IPO? — Before May 1, 2026",8.0,99.0,0x65e6bbe77f4cfd65fa6c4dc1eb496cc93d0eaef678596c8c8de189a2b07abd90,Glean IPO before 2027?,12.5,87.5
2,2,matching thresholds + jaccard 0.75,0.9362,5.0,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 91.0¢,KXHOUSERACE-GA09-26-D,Will Democratic win the House race for GA-09? — Democratic party,4.0,97.0,0x226112f717d035cee689874147a02ec459853019c5c4ecde7ab5a7510ebb29a6,Will the Democratic Party win the GA-09 House seat?,9.0,91.0
2,-1,needs review,0.9286,3.0,YES on Kalshi @ 30.0¢  +  NO on Polymarket @ 67.0¢,HOUSEAKAL-26-D,Will Democratic win the House race for AK-AL? — Democratic party,30.0,75.0,0x669ba3821baa39faef138f51fb0bc00dce395302cb56a432917b4d0bb459fc60,Will the Democratic Party win the AK-AL House seat?,33.0,67.0
1,-1,needs review,0.8526,9.5,YES on Kalshi @ 44.0¢  +  NO on Polymarket @ 46.5¢,KXAVGMEASLESDJT-29-5000,What will the average number of measles cases be during the Trump Administration? — At least 5000,44.0,59.0,0xd15f77a921a1c8f807ce2c53a5c24a60876ed383c429445cd7f380a5ec8fe9ea,Will there be at least 5000 measles cases in the U.S. in 2026?,53.5,46.5
0,-1,needs review,0.8706,7.0,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 92.0¢,KXPRESNOMD-28-LC,Will Liz Cheney be the Democratic Presidential nominee in 2028? — Liz Cheney,1.0,100.0,0x7c75f4a12a6976334fa9c52a9299a83371cb91e533a0f32064b2ab6229fa61b3,Will Liz Cheney announce a Presidential run before 2027?,8.0,92.0
1,-1,needs review,0.8772,5.0,YES on Kalshi @ 23.0¢  +  NO on Polymarket @ 72.0¢,KXTRUMPAPPROVALBELOW-26DEC31-35,Will Donald Trump's approval rating on approval rating be below 35% during Dec 2025 to Dec 2026 according to VoteHub? — Below 35%,23.0,81.0,0xd2e96e78b5a59e12b4d60d6b8426aa93dc6edf2ed7d711509481050c347856b3,Will Trump's approval rating hit 35% in 2026?,28.000000000000004,72.0
0,-1,needs review,0.9041,52.0,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 47.0¢,KXMENWORLDCUP-26-RSA,Will South Africa win the 2026 Men's World Cup? — South Africa,1.0,100.0,0x6f4ddf81589050e4d3ba82a040c2fe56ec39873b3bd86b987aa2092b56610706,Will South Africa win on 2026-03-27?,53.0,47.0
2,2,matching thresholds + jaccard 0.82,0.8758,1.0,NO on Kalshi @ 67.0¢  +  YES on Polymarket @ 32.0¢,KXOSCARCOUNT-26-ONE-6,How many awards will One Battle After Another win at the Oscars? — Exactly 6,35.0,67.0,0xb2ae08766445461fda8b41f3559050b2a2d43aa00331a15e53b17479555bc284,"Will ""One Battle After Another"" win exactly 6 awards at the Oscars?",32.0,68.0
2,-1,needs review,0.9475,0.2,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 97.8¢,KXGOVFLNOMD-26-DLEV,Wil Daniella Levine Cava be the Democratic nominee for Governor in Florida? — Daniella Levine Cava,2.0,100.0,0xc532180a9a9af81e373fc2e16991c339ec8feddc606b90a458e53eaf2f9e71c9,Will Daniella Levine Cava be the Democratic nominee for Florida Governor?,2.1999999999999997,97.8
1,-1,needs review,0.8492,3.5,YES on Kalshi @ 11.0¢  +  NO on Polymarket @ 85.5¢,KXU3MAX-27-8,How high will unemployment get before 2027? — Above 8%,11.0,90.0,0x109e5e08aee879d79a67aa1f22a3bb4684165a64b3fd9c85abecdbb28bf24cf5,Will US unemployment reach at least 7.0% in 2026?,14.499999999999998,85.5
2,2,matching thresholds + jaccard 0.67,0.8826,1.1,YES on Kalshi @ 8.0¢  +  NO on Polymarket @ 90.9¢,KXARREST-27JAN-BOM,Will Barack Obama be arrested before Jan 2027? — Barack Obama,8.0,91.0,0x70b226359baf2441d277d46fe796af532992f42d792fc2fe444ad21d2f4cc1da,Obama arrested before 2027?,9.1,90.9
2,-1,needs review,0.8374,2.0,NO on Kalshi @ 86.0¢  +  YES on Polymarket @ 12.0¢,KXNFLNFCEAST-27-WAS,Will Washington win the Pro Football NFC East Division? — Washington,15.0,86.0,0xe3d32e7b18873a33ba23d9ef9d07e2dbf188c5e829096a724e9dc8f5acb3fc91,Will Washington Commanders win the 2026 NFC East?,12.0,88.0
0,-1,needs review,0.8265,8.25,NO on Kalshi @ 90.0¢  +  YES on Polymarket @ 1.8¢,KXWCROUND-26SEMI-BEL,Will Belgium qualify for FIFA World Cup Semifinals? — Belgium,12.0,90.0,0x32cfa52198e85e070d1b17d1b53c5c3a6aaae7736cdc33fa6aa04d353f0c2811,Will Belgium win the 2026 FIFA World Cup?,1.7500000000000002,98.25
1,1,threshold mismatch (2026.0 vs 0.2),0.8348,0.15,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 98.9¢,KXDOGED-26MAR0906-T0.1399999,"Dogecoin price  on Mar 9, 2026? — $0.14 or above",1.0,,0x43637d120b7fede169ca76a7b0111865254737b61a2438dd00925c2f720bb68c,Will Dogecoin reach $0.20 in March?,1.15,98.85
2,-1,needs review,0.9131,2.55,NO on Kalshi @ 92.0¢  +  YES on Polymarket @ 5.5¢,KXFOWOMEN-26-AND,Will Mirra Andreeva win the French Open? — Mirra Andreeva,9.0,92.0,0x9baecdc68b73b7f4b69109dfb6d56282281b0cce490aa97af8b8129c2744ad6a,Will Mirra Andreeva win the 2026 Women’s French Open?,5.45,94.55
